standard sorting order,Long List (isc:),Long List (formatted),Rank,Black/White/None text font colour,CMYK,Cyan,Magenta,Yellow,Black,RGB,Red,Green,Blue,HTML RGB HASH,,,,,
,,,,,,,,,,,,,,,,,,,
,"Eonothems, Erathems, Systems, Subsytems, Series, Subseries, Stages",,,,,,,,,,,,,,,,,,
standard sort,Long List (isc:),Long List (formatted),Rank,,,,,,,,,,,,,,,,
122,isc:Eifelian,Eifelian,Stage,Black,5/15/50/0,5,15,50,0,241/213/118,241,213,118,#F1D576,Eifelian Stage,,"241,213,118",,#F1D576
123,isc:MiddleDevonian,Middle Devonian,Series,Black,5/20/55/0,5,20,55,0,241/200/104,241,200,104,#F1C868,Middle Devonian Series,,"241,200,104",,#F1C868
124,isc:Emsian,Emsian,Stage,Black,10/15/50/0,10,15,50,0,229/208/117,229,208,117,#E5D075,Emsian Stage,,"229,208,117",,#E5D075
125,isc:Pragian,Pragian,Stage,Black,10/20/55/0,10,20,55,0,229/196/104,229,196,104,#E5C468,Pragian Stage,,"229,196,104",,#E5C468
126,isc:Lochkovian,Lochkovian,Stage,Black,10/25/60/0,10,25,60,0,229/183/90,229,183,90,#E5B75A,Lochkovian Stage,,"229,183,90",,#E5B75A
127,isc:LowerDevonian,Lower Devonian,Series,Black,10/30/65/0,10,30,65,0,229/172/77,229,172,77,#E5AC4D,Lower Devonian Series,,"229,172,77",,#E5AC4D
128,isc:Devonian,Devonian,System,Black,20/40/75/0,20,40,75,0,203/140/55,203,140,55,#CB8C37,Devonian System,,"203,140,55",,#CB8C37
129,isc:PridoliStage,Pridoli,Stage,None,10/0/10/0,10,0,10,0,230/245/225,230,245,225,#E6F5E1,Pridoli Stage,,"230,245,225",,#E6F5E1
130,isc:Pridoli,Pridoli,Series,Black,10/0/10/0,10,0,10,0,230/245/225,230,245,225,#E6F5E1,Pridoli Series,,"230,245,225",,#E6F5E1
131,isc:Ludfordian,Ludfordian,Stage,Black,15/0/10/0,15,0,10,0,217/240/223,217,240,223,#D9F0DF,Ludfordian Stage,,"217,240,223",,#D9F0DF
132,isc:Gorstian,Gorstian,Stage,Black,20/0/10/0,20,0,10,0,204/236/221,204,236,221,#CCECDD,Gorstian Stage,,"204,236,221",,#CCECDD
133,isc:Ludlow,Ludlow,Series,Black,25/0/15/0,25,0,15,0,191/230/207,191,230,207,#BFE6CF,Ludlow Series,,"191,230,207",,#BFE6CF
134,isc:Homerian,Homerian,Stage,Black,20/0/15/0,20,0,15,0,204/235/209,204,235,209,#CCEBD1,Homerian Stage,,"204,235,209",,#CCEBD1
135,isc:Sheinwoodian,Sheinwoodian,Stage,Black,25/0/20/0,25,0,20,0,191/230/195,191,230,195,#BFE6C3,Sheinwoodian Stage,,"191,230,195",,#BFE6C3
136,isc:Wenlock,Wenlock,Series,Black,30/0/20/0,30,0,20,0,179/225/194,179,225,194,#B3E1C2,Wenlock Series,,"179,225,194",,#B3E1C2
137,isc:Telychian,Telychian,Stage,Black,25/0/15/0,25,0,15,0,191/230/207,191,230,207,#BFE6CF,Telychian Stage,,"191,230,207",,#BFE6CF
138,isc:Aeronian,Aeronian,Stage,Black,30/0/20/0,30,0,20,0,179/225/194,179,225,194,#B3E1C2,Aeronian Stage,,"179,225,194",,#B3E1C2
139,isc:Rhuddanian,Rhuddanian,Stage,Black,35/0/25/0,35,0,25,0,166/220/181,166,220,181,#A6DCB5,Rhuddanian Stage,,"166,220,181",,#A6DCB5
140,isc:Llandovery,Llandovery,Series,Black,40/0/25/0,40,0,25,0,153/215/179,153,215,179,#99D7B3,Llandovery Series,,"153,215,179",,#99D7B3
141,isc:Silurian,Silurian,System,Black,30/0/25/0,30,0,25,0,179/225/182,179,225,182,#B3E1B6,Silurian System,,"179,225,182",,#B3E1B6
142,isc:Hirnantian,Hirnantian,Stage,Black,35/0/30/0,35,0,30,0,166/219/171,166,219,171,#A6DBAB,Hirnantian Stage,,"166,219,171",,#A6DBAB
143,isc:Katian,Katian,Stage,Black,40/0/35/0,40,0,35,0,153/214/159,153,214,159,#99D69F,Katian Stage,,"153,214,159",,#99D69F
144,isc:Sandbian,Sandbian,Stage,Black,45/0/40/0,45,0,40,0,140/208/148,140,208,148,#8CD094,Sandbian Stage,,"140,208,148",,#8CD094
145,isc:UpperOrdovician,Upper Ordovician,Series,Black,50/0/40/0,50,0,40,0,127/202/147,127,202,147,#7FCA93,Upper Ordovician Series,,"127,202,147",,#7FCA93
146,isc:Darriwilian,Darriwilian,Stage,White,55/0/35/0,55,0,35,0,116/198/156,116,198,156,#74C69C,Darriwilian Stage,,"116,198,156",,#74C69C
147,isc:Dapingian,Dapingian,Stage,White,60/0/40/0,60,0,40,0,102/192/146,102,192,146,#66C092,Dapingian Stage,,"102,192,146",,#66C092
148,isc:MiddleOrdovician,Middle Ordovician,Series,White,70/0/50/0,70,0,50,0,77/180/126,77,180,126,#4DB47E,Middle Ordovician Series,,"77,180,126",,#4DB47E
149,isc:Floian,Floian,Stage,White,75/0/45/0,75,0,45,0,65/176/135,65,176,135,#41B087,Floian Stage,,"65,176,135",,#41B087
150,isc:Tremadocian,Tremadocian,Stage,White,80/0/50/0,80,0,50,0,51/169/126,51,169,126,#33A97E,Tremadocian Stage,,"51,169,126",,#33A97E
