site,sampleID,interval,rmcd,d13C,d18O
1168A,18X3W,61–63,164.48,0.38,1.98
1168A,18X4W,60–62,165.97,0.82,2.63
1168A,18X5W,60–62,167.47,0.56,2.62
1168A,18X5W,60–62,167.47,0.56,2.58
1168A,18X5W,60–62,167.47,0.59,2.72
1168A,18X5W,60–62,167.47,0.58,2.27
1168A,18X5W,62–64,167.49,0.61,2.68
1168A,18X5W,62–64,167.49,0.65,2.21
1168A,18X5W,62–64,167.49,0.43,2.07
1168A,19X3W,57.5–59.5,172.48,0.79,2.66
1168A,19X3W,57.5–59.5,172.48,0.62,2.36
1168A,19X3W,60–62,172.5,1.11,2.46
1168A,19X4W,60–62,174,0.01,2.46
1168A,19X5W,60–62,175.5,0.86,2.69
1168A,20X1W,60–62,178.28,0.84,2.47
1168A,20X1W,60–62,178.28,0.6,2.47
1168A,20X2W,58–60,179.76,0.38,2.44
1168A,20X2W,58–60,179.76,0.47,2.27
1168A,20X3W,60–62,181.28,0.63,2.59
1168A,20X4W,60–62,182.78,0.62,2.5
1168A,20X4W,60–62,182.78,0.66,2.65
1168A,20X4W,85–87,183.03,0.95,2.49
1168A,20X4W,85–87,183.03,0.71,2.36
1168A,20X5W,60–62,184.28,1.13,2.43
1168A,20X5W,60–62,184.28,1.72,2.24
1168A,20X5W,60–62,184.28,1.95,2.33
1168A,20X6W,09–11,185.27,1.01,2.24
1168A,21X1W,60–62,186.43,1.12,2.52
1168A,21X1W,60–62,186.43,0.98,2.58
1168A,21X1W,62–64,186.45,1.17,3.09
1168A,21X1W,62–64,186.45,1.14,2.75
1168A,21X1W,62–64,186.45,1.14,2.47
1168A,21X2W,60–62,187.93,0.8,2.5
1168A,21X2W,60–62,187.93,0.92,2.46
1168A,21X2W,60–62,187.93,0.83,2.47
1168A,21X3W,40–42,189.23,1.07,2.39
1168A,21X3W,40–42,189.23,0.97,2.39
1168A,21X3W,40–42,189.23,0.91,2.31
1168A,21X3W,60–62,189.43,0.94,2.32
1168A,21X3W,60–62,189.43,1.43,2.13
1168A,21X3W,60–62,189.43,1.07,2.36
1168A,21X4W,60–62,190.93,1.16,2.49
1168A,21X4W,60–62,190.93,1.33,2.49
1168A,21X4W,60–62,190.93,1.33,2.47
1168A,22X1W,60–62,195.4,0.93,2.43
1168A,22X2W,60–62,196.9,0.7,2.23
1168A,22X2W,130–132,197.6,0.48,2.5
1168A,22X2W,130–132,197.6,0.33,2.55
1168A,22X2W,130–132,197.6,0.43,2.56
1168A,22X3W,60–62,198.4,0.18,2.29
1168A,22X3W,60–62,198.4,0.15,2.42
1168A,22X3W,60–62,198.4,0.44,2.18
1168A,22X4W,48–50,199.78,0.81,2.37
1168A,22X4W,48–50,199.78,0.87,2.44
1168A,22X4W,48–50,199.78,0.69,2.09
1168A,22X4W,60–62,199.9,0.61,2.24
1168A,22X4W,60–62,199.9,0.63,2.32
1168A,22X4W,60–62,199.9,0.62,2.2
1168A,23X1W,60–62,205.16,-0.74,-1.38
1168A,23X1W,60–62,205.16,0.53,2.32
1168A,23X1W,60–62,205.16,0.82,2.5
1168A,23X1W,60–62,205.16,0.59,2.36
1168A,23X1W,140–142,205.96,0.5,2.33
1168A,23X1W,140–142,205.96,0.44,2.62
1168A,23X1W,140–142,205.96,0.39,2.44
1168A,23X2W,60–62,206.66,0.53,2.32
1168A,23X2W,60–62,206.66,0.66,2.49
1168A,23X2W,60–62,206.66,0.47,1.93
1168A,23X3W,60–62,208.16,0.48,2.24
1168A,23X3W,60–62,208.16,0.4,2.35
1168A,23X3W,60–62,208.16,0.36,2.28
1168A,23X3W,60–62,208.16,0.52,2.45
1168A,23X3W,118–120,208.74,0.33,2.29
1168A,23X3W,118–120,208.74,0.57,2.54
1168A,23X3W,118–120,208.74,0.48,2.37
1168A,23X3W,118–120,208.74,0.44,2.43
1168A,23X3W,118–120,208.74,0.55,2.32
