site,sampleID,interval,rmcd,d13C,d18O,,,,,,,,
1168A,17X3W,61–63,157.42,2.07,1.80,,,,,,,,
1168A,17X5W,57–59,160.38,2.06,2.10,,,,,,,,
1168A,18X1W,62–64,161.49,2.10,2.06,,,,,,,,
1168A,18X2W,64–66,163.01,2.08,1.90,,,,,,,,
1168A,18X3W,61–63,164.48,1.97,1.73,,,,,,,,
1168A,18X5W,62–64,167.49,2.00,1.81,,,,,,,,
1168A,19X2W,64–66,171.04,1.89,1.86,,,,,,,,
1168A,19X3W,57.5–59.5,172.48,1.82,1.89,,,,,,,,
1168A,19X5W,62–64,175.52,1.84,1.70,,,,,,,,
1168A,19X6W,57–59,176.97,1.97,1.72,,,,,,,,
1168A,20X2W,58–60,179.76,1.81,1.56,,,,,,,,
1168A,20X4W,85–87,183.03,2.34,1.72,,,,,,,,
1168A,20X6W,9–11,185.27,2.36,1.82,,,,,,,,
1168A,21X1W,62–64,186.45,2.31,1.89,,,,,,,,
1168A,21X2W,65–67,187.98,2.44,1.75,,,,,,,,
1168A,21X3W,40–42,189.23,2.31,1.69,,,,,,,,
1168A,21X6W,57–59,193.90,2.40,1.78,,,,,,,,
1168A,22X2W,130–132,197.30,1.50,1.52,,,,,,,,
1168A,22X4W,48–50,199.78,1.92,1.56,,,,,,,,
1168A,22X6W,27–29,202.57,2.00,1.58,,,,,,,,
1168A,22X7W,25–27,204.05,1.87,1.43,,,,,,,,
1168A,23X1W,140–142,205.96,1.96,1.56,,,,,,,,
1168A,23X2W,26–28,206.32,2.53,1.71,,,,,,,,
1168A,23X3W,118–120,208.74,2.60,1.76,,,,,,,,
1168A,23X4W,22–24,209.28,2.36,1.53,,,,,,,,
1168A,23X6W,22–24,212.28,2.75,1.82,,,,,,,,
1168A,23X7W,25–27,213.81,2.52,1.69,,,,,,,,
1168A,24X1W,125.5–127.5,215.56,2.25,1.74,,,,,,,,
1168A,24X2W,58–60,216.38,2.27,1.57,,,,,,,,
1168A,24X3W,121–123,218.51,2.30,1.38,,,,,,,,
1168A,24X4W,65–67,219.45,2.26,1.65,,,,,,,,
1168A,24X5W,107–109,221.37,2.44,1.86,,,,,,,,
1168A,24X6W,67–69,222.47,2.21,1.53,,,,,,,,
1168A,24X7W,36–38,223.66,2.14,1.54,,,,,,,,
1168A,25X1W,62–64,224.63,2.62,1.86,,,,,,,,
1168A,25X2W,121–123,226.72,2.34,1.77,,,,,,,,
1168A,25X3W,62–64,227.63,2.48,1.83,,,,,,,,
1168A,25X5W,61–63,230.62,2.29,1.45,,,,,,,,
1168A,25X6W,65–67,232.16,2.48,1.57,,,,,,,,
1168A,26X1W,25–27,233.26,2.46,1.40,,,,,,,,
1168A,26X2W,25–27,234.76,2.32,1.45,,,,,,,,
1168A,26X3W,26–28,236.27,2.26,1.38,,,,,,,,
1168A,26X5W,25–27,239.26,2.10,1.25,,,,,,,,
1168A,26X6W,130–132,242.01,2.51,1.35,,,,,,,,
1168A,26X7W,25–27,242.26,2.49,1.46,,,,,,,,
1168A,27X2W,65–67,245.00,2.22,1.36,,,,,,,,
1168A,27X3W,121–123,247.06,2.09,1.03,,,,,,,,
1168A,27X4W,91–93,248.26,2.04,0.71,,,,,,,,
1168A,27X5W,59–61,249.44,1.40,1.07,,,,,,,,
1168A,27X6W,85–87,251.20,2.25,0.99,,,,,,,,
1168A,28X1W,87–89,253.65,2.13,0.82,,,,,,,,
1168A,28X2W,66–68,254.94,1.49,0.63,,,,,,,,
1168A,28X4W,82.5–84.5,258.11,1.53,0.65,,,,,,,,
1168A,28X5W,57–59,259.27,1.30,0.83,,,,,,,,
1168A,29X1W,62–64,262.23,0.92,0.74,,,,,,,,
1168A,29X2W,27–29,263.38,1.91,0.44,,,,,,,,
1168A,29X4W,86–88,266.97,1.96,0.40,,,,,,,,
1168A,29X5W,23–25,267.84,1.97,0.58,,,,,,,,
1168A,29X6W,80–82,269.91,1.84,0.15,,,,,,,,
1168A,29X7W,22–24,270.83,0.25,0.25,,,,,,,,
1168A,30X1W,28–30,271.73,2.76,0.67,,,,,,,,
1168A,30X2W,57–59,273.52,1.50,0.67,,,,,,,,
1168A,30X4W,62–64,276.57,1.76,0.92,,,,,,,,
1168A,30X5W,85–87,278.30,1.96,0.36,,,,,,,,
1168A,30X6W,57.5–59.5,279.53,1.64,0.59,,,,,,,,
1168A,30X7W,40–42,280.35,1.89,0.41,,,,,,,,
1168A,31X1W,62–64,281.43,1.74,0.55,,,,,,,,
1168A,31X2W,66.5–68.5,282.98,1.20,0.65,,,,,,,,
1168A,31X4W,63–65,285.94,0.37,1.16,,,,,,,,
1168A,31X5W,52–54,287.33,2.34,1.05,,,,,,,,
